document_credit_no,date_of_issue,applicant,beneficiary,currency_amount,available_with,drafts_at,drawee,partial_shipments,transshipment,port_of_loading,port_of_discharge,latest_shipment_date,goods_description,documents_required,additional_conditions,charges,presentation_period,confirmation,negotiating_bank_instructions,advise_through,goods_quantity,goods_price,goods_incoterm
LC-949642,1977-09-08,"Harris-Taylor, 37121 Jennifer Landing Apt. 121, Bruceville, VT 32164","Kramer Ltd, 9110 Brown Plaza Apt. 906, South Thomasview, NY 68969",MGA 29306,Mejia Ltd,Sight,"Carter, Velasquez and Mcbride",Not Allowed,Allowed,Port Sara,Myersberg,2025-08-31,Model make policy draw husband half exist ball maybe describe word push situation.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,"Thomas, Dixon and Martinez",671 units,2899,EXW
LC-238146,1972-01-09,"Joseph LLC, Unit 7441 Box 2467, DPO AP 80050","Miller-Jennings, 70632 Ryan Streets, Lake Lauren, RI 31331",SVC 62157,Cooper-Fitzgerald,Sight,Baker-Young,Not Allowed,Not Allowed,Finleyberg,Rickyberg,2025-08-05,College same economic necessary never red long read end happy provide show.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Without,Negotiate under reserve.,Soto-Andrade,401 units,2604,EXW
LC-585787,2000-05-23,"Marsh-Chase, 627 Justin Summit Apt. 744, Jamesfurt, OK 94813","Taylor, Maldonado and Hurley, 616 Gregory Tunnel Suite 609, Ellisbury, LA 02452",CLP 62657,"King, Calderon and Hernandez",Sight,Williamson-Silva,Not Allowed,Not Allowed,Port Tara,Scotttown,2025-08-07,Safe economy people difference college clear PM although available involve read note billion.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,Williams LLC,80 units,620,CIF
LC-608559,2007-07-22,"Alvarez, Singleton and Baker, 79649 Laura Underpass, New Davidhaven, SC 57560","Sims-Davila, 575 Smith Forks, East Vanessaburgh, FL 36532",XDR 95877,Franklin-Long,Sight,Morton-White,Not Allowed,Not Allowed,Thompsonland,Powersmouth,2025-07-20,Offer picture month admit than dog fire kind.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,May Add,Negotiate under reserve.,"Andrews, Walker and Greer",879 units,4469,EXW
LC-58279,1986-03-03,"Henderson, Owen and Davis, 372 Turner Tunnel Suite 305, Lake Andrea, NE 82488","Michael-Stevens, 14502 Singleton Circle Suite 434, Karafurt, IL 19224",JOD 16141,"Fernandez, Lyons and Calderon",Sight,Reed Group,Not Allowed,Not Allowed,Hernandezton,Mathewsside,2025-07-24,Poor example reveal dinner card live to political likely.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,White-Odonnell,488 units,8108,DDP
LC-122889,2012-02-18,"Whitaker and Sons, Unit 1358 Box 6202, DPO AE 26104","Carney-Wiley, 880 Long Wall, New Dalechester, OK 20643",SOS 30264,"Cooley, Miller and Smith",Sight,Small and Sons,Not Allowed,Allowed,Jonesmouth,North Ashleybury,2025-08-10,Most serious without decision political this trip no machine treat but recent.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,May Add,Negotiate under reserve.,"Mcgee, Hansen and Montgomery",702 units,2401,EXW
LC-148474,2000-12-15,"Mills, Fernandez and Kelly, 8286 Christopher Mountain, Port Karla, WA 98890","Logan-Lee, 3787 Joshua Plains, Port Rickymouth, RI 57257",LBP 87119,Camacho-Garcia,Sight,"Robbins, Barrett and Castillo",Not Allowed,Not Allowed,Port Patrick,New Charlesborough,2025-08-17,Start wrong especially interesting practice quality per state million from choice practice.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,"Sims, Mills and Andrade",163 units,117,FOB
LC-287437,2020-05-02,"Ruiz-Schmidt, USNS Ramos, FPO AP 21201","Vazquez, Torres and Hines, 892 Caldwell Estate Apt. 316, Hubbardland, MN 94291",SDG 75566,Martin-Buck,Sight,Williams-Myers,Not Allowed,Allowed,Joshuafurt,Ashleytown,2025-09-01,To fast even cut sometimes wind.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,"Lozano, Esparza and Frey",319 units,5334,FOB
LC-311437,1983-03-10,"Hall-Avila, 70693 Fuller Mills Suite 818, South Sean, WI 93291","Fox Group, 833 Gilbert Trafficway, Seantown, NV 92979",GBP 27652,Brooks-Lowe,Sight,Stewart Group,Not Allowed,Allowed,Port Adam,South Brittanybury,2025-09-16,Dark speech nearly every say their traditional by example important develop.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,Add,Negotiate under reserve.,Newton-Gilmore,667 units,7365,DDP
LC-180208,2021-12-23,"Esparza, Barrett and Johnson, 860 Blake Port Apt. 391, Sabrinaport, ME 81501","Wilson-Perry, PSC 8214, Box 9778, APO AA 53628",RON 52258,Schultz PLC,Sight,Henry-Huff,Allowed,Not Allowed,Port Antonioton,Reynoldshaven,2025-08-25,Avoid policy song western region near.,"Commercial Invoice, Packing List, B/L",Documents must be in English.,All banking charges outside India are on beneficiary's account.,21 days after shipment,May Add,Negotiate under reserve.,Waters-Thomas,863 units,9481,CIF
